Museum Name,Museum Type,Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Latitude,Longitude,Income,Revenue
DOROTHY G PAGE MUSEUM,GENERAL MUSEUM,,,,,61.58234,-149.44139,,
EAGLE HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,64.78917,-141.20294,16773,14657
EAGLE HISTORICAL SOCIETY OF ALASKA,HISTORIC PRESERVATION,3RD,EAGLE,AK,99738,64.78917,-141.20294,16773,14657
EAGLE RIVER NATURE CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",32750 EAGLE RIVER ROAD,EAGLE RIVER,AK,99508,61.23644,-149.27332,295812,268677
FAIRBANKS CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,302 CUSHMAN STREET SUITE 101,FAIRBANKS,AK,99707,64.84217,-147.72078,156377,156377
FAIRBANKS COMMUNITY MUSEUM,HISTORY MUSEUM,,,,,64.84231,-147.72457,0,0
FAIRBANKS HOCKEY HALL OF FAME,GENERAL MUSEUM,,,,,64.83881,-147.70136,35320,31075
FAIRBANKS ICE MUSEUM,GENERAL MUSEUM,,,,,64.84363,-147.71794,,
GARY L. FREEBURG ART GALLERY,ART MUSEUM,,,,,64.81712,-147.87837,,
GASTINEAU CHANNEL HISTORICAL SOCIETY,HISTORIC PRESERVATION,1001 BASIN RD,JUNEAU,AK,99802,58.30836,-134.39819,0,0
GATES OF THE ARCTIC NATIONAL PARK AND PRESERVE,HISTORIC PRESERVATION,,,,,64.84911,-147.83878,,
GEORGESON BOTANICAL GARDEN,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,,,,64.81712,-147.87837,,
GLACIER BAY NATIONAL PARK & PRESERVE,HISTORIC PRESERVATION,,,,,58.82437,-136.97103,,
GLENN HIGHWAY SCENIC BYWAY ASSOCIATION,HISTORIC PRESERVATION,,,,,61.31504,-149.52682,0,0
GOLDBELT HERITAGE FOUNDATION,HISTORIC PRESERVATION,3200 HOSPITAL DRIVE SUITE 203,JUNEAU,AK,99801,58.33036,-134.47205,1549084,1549084
GUSTAVUS HISTORICAL ARCHIVES AND ANTIQUITIES,HISTORIC PRESERVATION,,,,,58.82437,-136.97103,0,0
HAL HOPKINS WW II MEMORIAL,HISTORIC PRESERVATION,,,,,61.19491,-149.76884,0,0
HAMMER MUSEUM,HISTORY MUSEUM,108 MAIN ST,HAINES,AK,99827,59.24675,-135.47365,0,0
HISTORIC HALL,HISTORIC PRESERVATION,,,,,64.85079,-147.82945,0,0
HOMER SOCIETY OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,,,,,59.6447,-151.5504,780811,742408
HOPE AND SUNRISE HISTORICAL SOCIETY,HISTORIC PRESERVATION,64851 SECOND STREET,HOPE,AK,99605,60.88669,-149.54407,0,0
HOPE AND SUNRISE MUSEUM,GENERAL MUSEUM,64851 2ND STREET; PO BOX 88,HOPE,AK,99605,60.88669,-149.54407,,
HUBBELL FAMILY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,60.58442,-151.23509,0,0
IDITAROD NATIONAL HISTORIC TRAIL,HISTORIC PRESERVATION,2323 HIALEAH DRIVE,ANCHORAGE,AK,99664,61.19811,-149.92363,91510,91510
IDITAROD TRAIL SLED DOG RACE MUSEUM,GENERAL MUSEUM,2100 S KNIK-GOOSE BAY ROAD,WASILLA,AK,99687,61.56479,-149.45177,,
INTERNATIONAL GALLERY OF CONTEMPORARY ARTS,ART MUSEUM,427 D ST,ANCHORAGE,AK,99510,61.21824,-149.88931,48842,39227
