Museum Name,Museum Type,Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Latitude,Longitude,Income,Revenue
NORFOLK HISTORICAL SOCIETY & MUSEUM,HISTORIC PRESERVATION,,,,,41.98808,-73.19945,49620,44436
NORTH HAVEN HIGH SCHOOL HALL OF FAME,GENERAL MUSEUM,,,,,41.37291,-72.85169,0,0
NORTH HAVEN HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.38871,-72.86242,19455,19455
NORTH STONINGTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,1 WYASSUP ROAD PO BOX 134,N STONINGTON,CT,6359,41.4564,-71.8742,0,0
NORTHEAST STATES CIVILIAN CONSERVATION CORPS MUSEUM,GENERAL MUSEUM,,,,,41.97614,-72.3818,,
NORTHFIELD HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.69696,-73.10715,0,0
NORTHWEST COMMUNITY COLLABORATIVE,CHILDREN'S MUSEUM,,,,,41.75218,-73.19541,142060,139783
NORWALK HISTORICAL SOCIETY,HISTORIC PRESERVATION,2 EAST WALL STREET,NORWALK,CT,6852,41.11797,-73.40941,58284,58284
NORWALK HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.11715,-73.41515,58284,58284
NORWALK MUSEUM,GENERAL MUSEUM,,,,,41.0996,-73.41869,,
NORWALK MUSEUMS,GENERAL MUSEUM,,,,,41.11116,-73.40736,0,0
NORWALK PRESERVATION TR,HISTORIC PRESERVATION,P O BOX 874,NORWALK,CT,6850,41.11715,-73.41515,0,0
NORWALK SEAPORT ASSOCIATION,HISTORIC PRESERVATION,,,,,41.09517,-73.41545,1186146,963550
NORWICH FREE ACADEMY FOUNDATION,HISTORY MUSEUM,,,,,41.53699,-72.08324,3104222,3104222
NORWICH HERITAGE TRUST IN,GENERAL MUSEUM,THE GUILDHALL GAOL HILL,NORWICH,CT,6360,41.53336,-72.08216,0,0
NORWICH HISTORICAL SOCIETY,HISTORIC PRESERVATION,307 MAIN ST,NORWICH,CT,6360,41.52425,-72.07284,24130,23947
OLD BETHLEHEM HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.64257,-73.20672,,
OLD LYME HISTORICAL SOCIETY,HISTORIC PRESERVATION,2 LIBRARY LANE,OLD LYME,CT,6371,41.3147,-72.32698,195007,195007
OLD QUARRY NATURE CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",5 MAPLE LANE,DANBURY,CT,6776,41.38827,-73.5057,,
OLD SAYBROOK HISTORICAL SOCIETY,HISTORIC PRESERVATION,350 MAIN ST,OLD SAYBROOK,CT,6475,41.28544,-72.37512,298234,126539
OLD WOODBURY HISTORICAL SOCIETY,HISTORIC PRESERVATION,25 HOLLOW RD,WOODBURY,CT,6798,41.53782,-73.20826,0,0
OPERATION SAIL,HISTORIC PRESERVATION,55 WATER ST,NEW YORK,NY,6902,40.70317,-74.00916,18740,18740
ORANGE HISTORICAL SOCIETY,HISTORIC PRESERVATION,605 & 615 ORANGE CENTER RD,ORANGE,CT,6477,41.28005,-73.0237,0,0
ORDER OF FIRST FAMILIES OF CONNECTICUT 1633-1662,HISTORIC PRESERVATION,,,,,41.51621,-73.29485,0,0
OSBORNE HOMESTEAD MUSEUM,GENERAL MUSEUM,500 HAWTHORNE AVENUE,DERBY,CT,6418,41.33457,-73.11113,,
OXFORD HISTORICAL SOCIETY,HISTORIC PRESERVATION,60 TOWNER LANE,OXFORD,CT,6478,41.45828,-73.14395,0,0
P.L.A.C.E. MULTICULTURAL CHILDREN'S MUSEUM & CREATIVE ARTS CENTER,CHILDREN'S MUSEUM,"2781 DIXWELL AVENUE, SUITES 201 & 202",HAMDEN,CT,6518,41.39915,-72.91406,,
PEGAGUS GALLERY,ART MUSEUM,,,,,41.53818,-72.61125,,
PHILIP JOHNSON GLASS HOUSE,HISTORIC PRESERVATION,,,,,41.13659,-73.52586,,
PHILOMEN J HEWITT JR HONEYBEE MUSEUM AND RESEARCH CENTER,GENERAL MUSEUM,,,,,41.64206,-73.25,,
PLAINVILLE HISTORIC CENTER,HISTORIC PRESERVATION,,,,,41.66862,-72.8697,,
PLAINVILLE HISTORICAL SOCIETY & HISTORIC CENTER,HISTORIC PRESERVATION,,,,,41.66862,-72.8697,0,0
PLANETARIUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,409 MAIN STREET,NIANTIC,CT,6357,41.32219,-72.20041,,
PLANETARIUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,250 COLUMBUS BLVD,HARTFORD,CT,6103,41.76443,-72.66961,,
PLYMOUTH HISTORICAL SOCIETY,HISTORIC PRESERVATION,155 S MAIN STREET,PLYMOUTH,CT,6782,41.66384,-73.04932,0,0
POLISH AMERICAN HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,,,,,41.58583,-86.89671,0,0
POMFRET HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.86856,-71.98049,0,0
PORTLAND HISTORICAL SOCIETY,HISTORIC PRESERVATION,492 MAIN ST,PORTLAND,CT,6480,41.58563,-72.63072,0,0
PRESTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.52579,-71.9763,0,0
PRIMAR FARBE GALERIE,GENERAL MUSEUM,,,,,41.34065,-72.11761,,
PROMARE,NATURAL HISTORY MUSEUM,PO BOX 450,JERSEY VILLAGE,CT,77040,,,467610,127965
PROSPECT HISTORICAL SOCIETY,HISTORIC PRESERVATION,61 WATERBURY ROAD,PROSPECT,CT,6712,41.51416,-72.9856,0,0
PROSPECT HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.50348,-72.97939,0,0
PRUDENCE CRANDALL MUSEUM,GENERAL MUSEUM,1 S CANTERBURY RD,CANTERBURY,CT,6331,41.69813,-71.97135,,
QUINEBAUG VALLEY ENGINEERS ASSOCIATION EDGE & TA BRANCH 5,HISTORY MUSEUM,,,,,41.56803,-72.70846,36292,31460
RAILROAD MUSEUM OF NEW ENGLAND,GENERAL MUSEUM,242 E MAIN ST,THOMASTON,CT,6787,41.67514,-73.06952,258557,258557
REAL ART WAYS,GENERAL MUSEUM,,,,,41.75981,-72.70311,1240872,1240872
REDDING HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.32404,-73.37014,0,0
REX BRASHER ASSOCIATION,ART MUSEUM,,,,,41.73001,-73.45476,0,0
RIDGEFIELD GUILD OF ARTISTS,ART MUSEUM,34 HALPIN LN,RIDGEFIELD,CT,6877,41.28207,-73.48952,184225,184225
RIDGEFIELD HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.28551,-73.49491,37344,35761
RIDGEFIELD LIBRARY,GENERAL MUSEUM,,,,,41.28435,-73.49858,5414792,2399469
ROARING BROOK NATURE CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,,,,41.83967,-72.88001,30047,27478
ROCKY-HILL HISTORICAL SOCIETY,HISTORIC PRESERVATION,PO BOX 185 785 OLD MAIN ST,ROCKY HILL,CT,6067,41.65756,-72.66364,0,0
ROWAYTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,177 ROWAYTON AVE,ROWAYTON,CT,6853,41.07058,-73.44313,46990,42920
ROXBURY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.55443,-73.2999,0,0
SALEM HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.49009,-72.27605,0,0
SALISBURY ASSOCIATION,HISTORIC PRESERVATION,24 MAIN STREET,SALISBURY,CT,6068,41.98197,-73.42262,887298,570726
SALMON BROOK HISTORICAL SOCIETY,HISTORIC PRESERVATION,208 SALMON BROOK STREET,GRANBY,CT,6060,41.9541,-72.78965,60986,38562
SAMUEL HUNTINGTON BIRTHPLACE,HISTORIC PRESERVATION,36 HUNTINGTON ROAD (ROUTE 14),SCOTLAND,CT,6264,41.69821,-72.09017,132968,132968
SAVAGE HILL MUSEUM,GENERAL MUSEUM,,,,,41.096,-73.69889,,
SCIENCE CENTER OF EASTERN CONNECTICUT,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,,,,41.38054,-72.11169,,
SCOTLAND HISTORICAL SOCIETY,HISTORIC PRESERVATION,9 DEVOTION RD,SCOTLAND,CT,6264,41.69821,-72.09017,0,0
SENECA FALLS HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.3726,-71.958,26678670,26299675
SETON GALLERY,ART MUSEUM,,,,,41.29113,-72.96115,241404947,218936569
SEVEN BRIDGES FOUNDATION,GENERAL MUSEUM,,,,,41.09751,-73.68466,47654082,
SEYMOUR HISTORICAL SOCIETY,HISTORIC PRESERVATION,59 WEST ST SEYMOUR,SEYMOUR,CT,6483,41.38714,-73.08207,68294,68294
SHARON HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.87649,-73.47704,150983,137633
SHELTON CIVIL WAR MONUMENT,HISTORIC PRESERVATION,,,,,41.28361,-73.11311,0,0
SHELTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,70 RIPTON ROAD,SHELTON,CT,6484,41.29767,-73.1548,61469,57897
SHERMAN HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.57154,-73.49392,155465,91154
SHORE LINE TROLLEY MUSEUM,GENERAL MUSEUM,,,,,41.27427,-72.86336,1658428,1557387
SIMSBURY HISTORICAL SOCIETY,HISTORIC PRESERVATION,800 HOPMEADOW ST,SIMSBURY,CT,6070,41.88109,-72.79974,110467,109068
SOMERS HISTORICAL MUSEUM,HISTORIC PRESERVATION,335 US 202,SOMERS,CT,6071,41.99575,-72.45356,0,0
SOMERS MOUNTAIN INDIAN MUSEUM,GENERAL MUSEUM,,,,,41.99575,-72.45356,,
SOUNDWATERS COASTAL EDUCATION CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",1281 COVE RD,STAMFORD,CT,6902,41.04891,-73.50351,1545513,1445108
SOUTH WINDSOR HISTORICAL SOCIETY,HISTORIC PRESERVATION,771 ELLINGTON RD,S WINDSOR,CT,6074,41.81485,-72.59037,18129,18129
SOUTHBURY HISTORICAL SOCIETY & MUSEUM,HISTORIC PRESERVATION,624 S BRITAIN RD,SOUTHBURY,CT,6488,41.4696,-73.25042,43844,39294
SOUTHBURY HISTORICAL SOCIETY MUSEUMS,HISTORIC PRESERVATION,624 S BRITAIN RD,SOUTHBURY,CT,6488,41.4696,-73.25042,43844,39294
SOUTHEAST CONNECTICUT HALL OF FAME,GENERAL MUSEUM,,,,,41.35313,-72.14068,0,0
SOUTHERN CONNECTICUT ANCESTRY NETWORK,HISTORIC PRESERVATION,,,,,41.39915,-72.91406,0,0
SOUTHERN CONNECTICUT ANTIQUE BOTTLE & GLASS COLLECTORS ASSOCIATION,HISTORIC PRESERVATION,,,,,41.28566,-72.99507,0,0
SOUTHINGTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,239 MAIN STREET,SOUTHINGTON,CT,6489,41.59663,-72.87765,0,0
SOUTHWESTERN CONNECTICUT SCOUTING HERITAGE MUSEUM,GENERAL MUSEUM,,,,,41.25441,-73.07362,0,0
SPARK PLUG COLLECTORS OF AMERICA,HISTORY MUSEUM,,,,,41.87733,-72.81142,0,0
ST. MICHAELS UKRANIAN HERITAGE CENTER,GENERAL MUSEUM,,,,,41.30898,-72.941,,
STAFFORD HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.95324,-72.30481,0,0
STAMFORD CAMPUS ART GALLERY,ART MUSEUM,,,,,41.05547,-73.54121,,
STAMFORD HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.12232,-73.54444,148915,80381
STAMFORD MUSEUM & NATURE CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",39 SCOFIELDTOWN RD,STAMFORD,CT,6905,41.12361,-73.54539,,
STANLEY-WHITMAN HOUSE,HISTORIC PRESERVATION,,,,,41.7304,-72.79994,452226,
STANTON HOUSE,HISTORIC PRESERVATION,,,,,41.3524,-72.39673,71761,
STANTON-DAVIS HOMESTEAD MUSEUM,HISTORIC PRESERVATION,,,,,41.41371,-71.89918,0,0
STEPPING STONES MUSEUM FOR CHILDREN,CHILDREN'S MUSEUM,,,,,41.10954,-73.41816,8302033,7951249
STONINGTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,40 PALMER STREET,STONINGTON,CT,6378,41.3426,-71.90779,811501,507205
STONY CREEK MUSEUM,GENERAL MUSEUM,,,,,41.2715,-72.75331,,
STOWE-DAY FOUNDATION,GENERAL MUSEUM,,,,,41.76436,-72.7005,,
STRATFORD HISTORICAL SOCIETY,HISTORIC PRESERVATION,967 ACADEMY HILL,STRATFORD,CT,6615,41.18805,-73.12944,878479,224993
SUBMARINE FORCE LIBRARY & MUSEUM,GENERAL MUSEUM,1 CRYSTAL LAKE RD,GROTON,CT,6340,41.40314,-72.09161,732582,439193
SUFFIELD HISTORICAL SOCIETY,HISTORIC PRESERVATION,232 S MAIN ST,SUFFIELD,CT,6078,41.97558,-72.65326,49936,49936
TANTAQUIDGEON INDIAN MUSEUM,GENERAL MUSEUM,,,,,41.4756,-72.09988,,
TANTAQUIDGEON MEMORIAL MUSEUM,GENERAL MUSEUM,,,,,41.4724,-72.09537,0,0
TARIFFVILLE VILLAGE ASSOCIATION,HISTORIC PRESERVATION,PO BOX 333,TARIFFVILLE,CT,6081,41.90756,-72.76629,0,0
THANKFUL ARNOLD HOUSE,HISTORIC PRESERVATION,,,,,41.47555,-72.5184,,
THEODORE A HUNGERFORD MEMORIAL MUSEUM,GENERAL MUSEUM,,,,,41.76889,-73.0678,0,0
THOMAS AVERY HOUSE (SMITH-HARRIS HOUSE),GENERAL MUSEUM,,,,,41.34703,-72.21287,,
THOMAS J WALSH ART GALLERY,ART MUSEUM,1073 N BENSON RD,FAIRFIELD,CT,6824,41.16107,-73.25406,,
THOMAS J. WALSH ART GALLERY,ART MUSEUM,,,,,41.15098,-73.25446,313770004,282265235
THOMASTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.67282,-73.07458,21187,21187
THOMASTON OPERA HOUSE,HISTORIC PRESERVATION,158 MAIN ST,THOMASTON,CT,6787,41.67282,-73.07458,0,0
THOMPSON HISTORICAL SOCIETY,HISTORIC PRESERVATION,339 THOMPSON RD,THOMPSON,CT,6277,41.95815,-71.86284,0,0
TOLLAND HISTORICAL SOCIETY,HISTORIC PRESERVATION,METCALF RD,TOLLAND,CT,6084,41.87439,-72.36719,53172,29444
TOLLAND JAIL MUSEUM,GENERAL MUSEUM,,,,,41.87382,-72.37011,,
TORRINGTON AREA MODEL RAILROADERS,GENERAL MUSEUM,,,,,41.78447,-72.94122,0,0
TORRINGTON HISTORIC PRESERVATION TRUST,HISTORIC PRESERVATION,,,,,41.8144,-73.11518,0,0
TORRINGTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.80348,-73.1213,607599,390209
TOTOKET HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.39342,-72.78485,0,0
TRAVELERS SCIENCE DOME AT GENGRAS PLANETARIUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,950 TROUT BROOK DRIVE,WEST HARTFORD,CT,6119,41.76198,-72.73786,,
TREWORGY PLANETARIUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,75 GREENMANVILLE AVE,MYSTIC,CT,6355,41.36387,-71.96307,,
TRUMBULL HISTORICAL SOCIETY,HISTORIC PRESERVATION,1856 HUNTINGTON TURNPIKE,TRUMBULL,CT,6611,41.24412,-73.16157,18773,18773
U.S. COAST GUARD MUSEUM,HISTORY MUSEUM,15 MOHEGAN AVENUE,NEW LONDON,CT,6320,41.35167,-72.09698,212027,212027
U.S. MAYFLOWER CHARITY,GENERAL MUSEUM,,,,,41.3642,-72.40066,,
U.S. NAVY SUBMARINE FORCE MUSEUM,GENERAL MUSEUM,,,,,41.40314,-72.09161,,
UCONN PLANETARIUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,,,,41.80608,-72.24526,,
UNIONVILLE MUSEUM,GENERAL MUSEUM,,,,,41.75837,-72.88915,0,0
UPPER HOUSATONIC VALLEY NHA,HISTORIC PRESERVATION,24 MAIN ST,SALISBURY,CT,6068,41.98197,-73.42262,236921,236921
VALLEY RAILROAD,HISTORIC PRESERVATION,,,,,41.33576,-72.41783,0,0
VERNON HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.86628,-72.45418,0,0
VINTAGE BASE BALL,HISTORIC PRESERVATION,,,,,41.79003,-72.66171,8761,8761
VINTAGE RADIO & COMMUNICATION MUSEUM OF CONNECTICUT,GENERAL MUSEUM,,,,,41.86094,-72.63887,55287,49480
VOLUNTOWN HISTORICAL SOCIETY,HISTORIC PRESERVATION,115 MAIN STREET,VOLUNTOWN,CT,6384,41.573,-71.86846,0,0
WADSWORTH ATHENEUM MUSEUM OF ART,ART MUSEUM,,,,,41.76333,-72.67401,66761998,19020471
WARD-HEITMAN MUSEUM FOUNDATION,GENERAL MUSEUM,277 ELM STREET,WEST HAVEN,CT,6516,41.2763,-72.95178,31782,22982
WARREN HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.73952,-73.33791,0,0
WATERBURY VETERANS COMMITTEE,HISTORIC PRESERVATION,,,,,41.59028,-73.0527,0,0
WATERFORD HISTORICAL SOCIETY,HISTORIC PRESERVATION,1740 JORDAN SCHOOLHOUSE,WATERFORD,CT,6385,41.34515,-72.14738,0,0
WEIR FARM NATIONAL HISTORIC SITE,HISTORIC PRESERVATION,,,,,41.2547,-73.4557,36912,36912
WEST CAMPUS COMMUNITY GALLERY,ART MUSEUM,,,,,41.10396,-73.45193,,
WEST HAVEN HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.2721,-72.96175,73607,2638
WEST ROCK NATURE CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,,,,41.31748,-72.95997,,
WESTBROOK DRUM CORPS,HISTORIC PRESERVATION,,,,,41.29046,-72.45583,0,0
WESTMOOR PARK,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",119 FLAGG ROAD,WEST HARTFORD,CT,6117,41.78332,-72.7632,,
WESTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,104 WESTON RD,WESTON,CT,6883,41.19269,-73.37521,467657,458910
WESTPORT HISTORICAL SOCIETY,HISTORIC PRESERVATION,25 AVERY PL,WESTPORT,CT,6880,41.14415,-73.36167,375827,247807
WESTVILLE VILLAGE RENAISSANCE ALLIANCE,HISTORIC PRESERVATION,904 WHALLEY AVENUE,NEW HAVEN,CT,6515,41.32723,-72.96039,188594,164824
WETHE CONNECTICUT PROJECT FOR THE CONSTITUTION,HISTORIC PRESERVATION,,,,,41.3195,-73.5099,0,0
WETHERSFIELD HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.70973,-72.65454,480561,446220
WIDENER GALLERY,ART MUSEUM,,,,,41.74788,-72.6931,235182598,170279255
WILLIAM BENTON MUSEUM OF ART,ART MUSEUM,,,,,41.80788,-72.25562,,
WILLINGTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,1 COMMON RD,WILLINGTON,CT,6279,41.87635,-72.26487,11735,8170
WILTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.18798,-73.42485,670376,317077
WINCHESTER CENTER HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,,,,,41.90188,-73.1423,0,0
WINCHESTER HISTORICAL SOCIETY,HISTORIC PRESERVATION,15 HIGH STREET,WINCHESTER,MA,6098,42.44542,-71.1559,225720,225720
WINDHAM HISTORICAL SOCIETY,HISTORIC PRESERVATION,627 MAIN ST,WILLIMANTIC,CT,6226,41.71173,-72.21164,0,0
WINDHAM TEXTILE AND HISTORY MUSEUM,HISTORY MUSEUM,,,,,41.71095,-72.20706,84007,79696
WINDSOR HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.85756,-72.63755,,
WINDSOR HISTORICAL SOCIETY OF WINDSOR CONN,HISTORIC PRESERVATION,,,,,41.85756,-72.63755,1012464,778472
WINDSOR LOCKS HISTORICAL SOCIETY,HISTORIC PRESERVATION,58 WEST ST,WINDSOR LOCKS,CT,6096,41.93272,-72.63967,0,0
WINDSOR LOCKS WAR VETERANS MEMORIAL,GENERAL MUSEUM,,,,,41.99642,-72.57321,52049,
WING STC REVISION PROJECT,HISTORIC PRESERVATION,120 HIGH STREET,NEW HAVEN,CT,6520,41.31103,-72.92821,0,0
WINTONBURY HISTORICAL SOCIETY,HISTORIC PRESERVATION,151 SCHOOL STREET,BLOOMFIELD,CT,6002,41.82628,-72.70741,0,0
WITCH'S DUNGEON CLASSIC MOVIE MUSEUM,GENERAL MUSEUM,,,,,41.69711,-72.96923,,
WOLCOTT HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.59714,-72.98147,0,0
WOODSTOCK HISTORICAL SOCIETY,HISTORIC PRESERVATION,523 CONNECTICUT 169,WOODSTOCK,CT,6281,41.96243,-71.99978,0,0
WOOSTER SQUARE CONSERVANCY,HISTORIC PRESERVATION,,,,,41.30582,-72.91868,0,0
WORTHINGTON MEETING HOUSE,HISTORIC PRESERVATION,,,,,41.57548,-72.80751,0,0
YALE CENTER FOR BRITISH ART,ART MUSEUM,,,,,41.30957,-72.92761,7943643646,3688471185
YALE COLLECTION OF MUSICAL,GENERAL MUSEUM,,,,,41.31267,-72.92383,,
YALE PEABODY MUSEUM OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,,,,,41.30957,-72.92761,7943643646,3688471185
YALE UNIVERSITY ART GALLERY,ART MUSEUM,,,,,41.30957,-72.92761,7943643646,3688471185
YALE UNIVERSITY COLLECTION OF MUSICAL INSTRUMENTS,GENERAL MUSEUM,,,,,41.30957,-72.92761,7943643646,3688471185
YOUTH MUSEUM EXHIBIT COLLABORATIVE,CHILDREN'S MUSEUM,,,,,41.12225,-73.43253,198403,198403
ADDISON/RIPLEY GALLERY,ART MUSEUM,,,,,38.91259,-77.06635,,
ADOBE DESIGN CENTER AND SHOWROOM,GENERAL MUSEUM,,,,,38.90043,-76.99653,,
AFRICAN AMERICAN CIVIL WAR MEMORIAL,HISTORY MUSEUM,,,,,38.9169,-77.02824,333682,333682
ALBERT EINSTEIN PLANETARIUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,6TH & INDEPENDENCE AVE SW,WASHINGTON,DC,20013,38.89755,-77.00902,,
ALNWICK GARDEN,HISTORIC PRESERVATION,,,,,38.89673,-77.02809,,
AMERICAN CENTER OF POLISH CULTURE,GENERAL MUSEUM,,,,,38.9088,-77.04626,,
AMERICAN MUSEUM OF PEACE,GENERAL MUSEUM,4201 CATHEDRAL AVE NW,WASHINGTON,DC,20002,38.93032,-77.08058,12374,12374
AMERICAN POETRY MUSEUM,GENERAL MUSEUM,1227 GOOD HOPE ROAD SE SUITE 101,WASHINGTON,DC,20020,38.867,-76.98792,19789,19789
AMERICAN RED CROSS MUSEUM,GENERAL MUSEUM,,,,,38.89499,-77.03955,,
AMERICAN UNIVERSITY MUSEUM,GENERAL MUSEUM,,,,,38.93694,-77.08947,990975218,647400163
AMERICAN UNIVERSITY'S ARBORETUM & GARDEN,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,,,,38.93694,-77.08947,990975218,647400163
AMERICAN WRITERS MUSEUM,GENERAL MUSEUM,,,,,38.90305,-77.04454,244408,244408
AMERICANS FOR BATTLEFIELD PRESERVATION,HISTORIC PRESERVATION,,,,,38.90537,-77.03505,21000,21000
ANACOSTIA COMMUNITY MUSEUM,GENERAL MUSEUM,,,,,38.85661,-76.97649,,
ARBORETUM COMMUNITY CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",2412 RAND PLACE NE,WASHINGTON,DC,20036,38.91343,-76.97211,0,0
ARCHIE EDWARDS BLUES HERITAGE FOUNDATION,GENERAL MUSEUM,,,,,38.92769,-76.97666,34551,34356
ARMENIAN GENOCIDE MUSEUM AND MEMORIAL,HISTORY MUSEUM,1336 G STREET NORTHWEST,WASHINGTON,DC,20005,38.89803,-77.03092,15129,
ART MUSEUM OF THE AMERICAS,ART MUSEUM,201 18TH STREET,WASHINGTON,DC,20006,38.8921,-77.04164,0,0
ARTS CLUB OF WASHINGTON,HISTORIC PRESERVATION,,,,,38.90132,-77.04578,928768,928768
ATOMIC HERITAGE FOUNDATION,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,,,,38.90189,-77.0399,593772,593549
B'NAI B'RITH KLUTZNICK MUSEUM,GENERAL MUSEUM,,,,,38.90211,-77.04599,8759917,7002140
BEAD SOCIETY OF GREATER WASHINGTON,GENERAL MUSEUM,,,,,38.96487,-77.06964,0,0
BETHUNE MEMORIAL MUSEUM,GENERAL MUSEUM,,,,,38.90833,-77.03091,,
BLACK FASHION MUSEUM,GENERAL MUSEUM,,,,,38.91759,-77.02457,,
BLAIR HOUSE,HISTORIC PRESERVATION,,,,,38.89881,-77.04088,2057869,1381736
BOASBERG HISTORIC PRESERVATION FUND,HISTORIC PRESERVATION,,,,,38.90483,-77.04074,0,0
BOHEMIA ARTS,ART MUSEUM,,,,,38.91166,-77.00532,,
BUREAU OF ENGRAVING AND PRINTING,GENERAL MUSEUM,,,,,38.88596,-77.03186,,
CAPITOL HILL RESTORATION SOCIETY,HISTORIC PRESERVATION,420 10TH STREET S E,WASHINGTON,DC,20003,38.88367,-76.99232,173217,173217
CAPITOL HISTORIC TRUST,HISTORIC PRESERVATION,2424 TRACY PL NW,WASHINGTON,DC,20008,38.91616,-77.05483,1318939,52056
CHILDREN'S COMPLEX,GENERAL MUSEUM,,,,,38.90341,-77.04291,0,0
CLARA BARTON MISSING SOLIDERS OFFICE,GENERAL MUSEUM,437 7TH STREET NW,WASHINGTON,DC,20004,38.88303,-76.9964,,
CLEVELAND PARK HISTORICAL SOCIETY,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,,,,38.9261,-77.053,0,0
COLLECTIONS & STORIES OF AMERICAN MUSLIMS,GENERAL MUSEUM,,,,,38.85404,-76.99062,255982,255532
CONFEDERATE MEMORIAL HALL ASSOCIATION,GENERAL MUSEUM,,,,,38.90327,-77.02994,,
CONGRESSIONAL CEMETERY,GENERAL MUSEUM,,,,,38.88274,-76.97905,,
CONGRESSIONAL CLUB MUSEUM,GENERAL MUSEUM,,,,,38.91778,-77.03529,0,0
CORCORAN GALLERY OF ART,ART MUSEUM,500 SEVENTEENTH ST NW,WASHINGTON,DC,20006,38.89616,-77.03946,72365327,67506317
COSMOS CLUB HISTORIC PRESERVATION FOUNDATION,HISTORIC PRESERVATION,,,,,38.91169,-77.04772,196826,196826
D.C. OFFICE OF PUBLIC RECORDS AND ARCHIVES,GENERAL MUSEUM,,,,,38.9082,-77.02443,,
DAUGHTERS OF THE AMERICAN REVOLUTION MUSEUM,GENERAL MUSEUM,,,,,61.30216,-149.45449,0,0
DAVID S WYMAN INSTITUTE FOR HOLOCAUST STUDIES,HISTORIC PRESERVATION,,,,,39.04921,-77.01971,153350,115294
DC FIRE & EMS MUSEUM,GENERAL MUSEUM,,,,,38.89591,-77.01083,,
DIMOCK GALLERY,ART MUSEUM,,,,,39.05186,-77.43757,1652712215,1306513400
DIPLOMACY CENTER FOUNDATION,HISTORY MUSEUM,2401 CALVERT ST NW SUITE 902,WASHINGTON,DC,20008,38.92401,-77.05328,13477582,8015962
DISTRICT COLUMBIA ARTS CENTER,ART MUSEUM,2438 18TH ST NW,WASHINGTON,DC,20009,38.92154,-77.04268,198592,198592
